ano,uf,mortos,ilesos,feridos_graves,feridos_leves,feridos
2020,MT,114,1116,273,917,1190
2020,PA,67,577,152,438,590
2020,PB,50,604,217,635,852
2020,PE,165,1228,367,1038,1405
2020,PI,69,526,194,456,650
2020,PR,309,3733,950,3085,4035
2020,RJ,138,2213,484,1905,2389
2020,RN,50,591,218,523,741
2020,RO,38,885,246,678,924
2020,RR,22,107,35,116,151
2020,RS,136,2460,499,2130,2629
2020,SC,210,3740,969,3648,4617
2020,SE,25,283,98,252,350
2020,SP,125,2054,347,1861,2208
2020,TO,47,300,107,261,368
